Подiя;Дата/час скоєння;Вулиця;Будинок
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);27.04.2015 1:50;Героїв УПА;78
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);23.10.2015 18:00;Гоголя М.;14
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);24.02.2015 14:42;Гоголя М.;1
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);21.12.2015 8:35;Головатого А.;3
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);25.03.2015 20:13;Горбачевського І.;21
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);25.08.2015 9:00;Городоцька;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);20.06.2015 21:00;Городоцька;155
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);14.06.2015 15:05;Городоцька;299
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);02.06.2015 17:50;Городоцька;63
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);02.03.2015 23:50;Городоцька;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);23.02.2015 6:15;Городоцька;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);06.02.2015 16:30;Городоцька;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);17.01.2015 18:40;Городоцька;53
