Подiя;Дата/час скоєння;Вулиця;Будинок
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);02.05.2015 16:20;Куліша П.;46
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);16.06.2015 15:05;Кульпарківська-Володимира Великого;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);05.05.2015 17:20;Кульпарківська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);20.08.2015 10:10;Кульпарківська;147
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);07.08.2015 14:36;Кульпарківська;122
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);22.06.2015 20:30;Кульпарківська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);04.06.2015 15:29;Кульпарківська;230
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);04.06.2015 9:49;Кульпарківська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);27.05.2015 10:00;Кульпарківська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);14.04.2015 23:00;Кульпарківська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);05.02.2015 21:43;Кульпарківська;65
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);16.01.2015 14:39;Кульпарківська;122
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);20.06.2015 16:00;Кульпарківська-Садова;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);02.10.2015 16:40;Кульпарківська;122
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);08.09.2015 20:50;Кульпарківська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);02.08.2015 19:50;Кульпарківська;111
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);23.06.2015 23:00;Кульпарківська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);22.05.2015 12:30;Кульпарківська;35
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);23.04.2015 17:00;Кульпарківська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);19.02.2015 11:00;Кульпарківська;50
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);22.12.2015 12:30;Кульпарківська;95
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);31.10.2015 12:30;Кульпарківська;95
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);12.06.2015 19:40;Кульпарківська;140
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);01.06.2015 21:00;Кульпарківська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);03.05.2015 23:50;Кульпарківська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);06.04.2015 18:20;Кульпарківська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);12.01.2015 6:30;Кульпарківська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);11.01.2015 3:30;Кульпарківська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);04.06.2015 23:36;Кульчицької О.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);25.10.2015 21:50;Кульчицької О.;3
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);24.12.2015 17:50;Лазаренка Є.,акад.;48
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);23.11.2015 19:50;Левандівська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);21.08.2015 14:00;Левандівська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);24.10.2015 0:00;Левандівська;30
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);01.09.2015 19:20;Левицького К.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);12.05.2015 11:15;Лемківська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);08.06.2015 17:40;Леонтовича М.;26
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);02.01.2015 18:50;Лінкольна А.;45
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);14.09.2015 18:00;Липинського В.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);15.04.2015 14:20;Липинського В.;54
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);29.08.2015 2:30;Липинського В.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);25.12.2015 4:03;Липинського В.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);22.12.2015 14:11;Липинського В.;60
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);21.12.2015 15:14;Липинського В.;50
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);28.11.2015 17:35;Липинського В.;44
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);10.10.2015 13:30;Липинського В.;44
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);26.09.2015 21:10;Липинського В.;6
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);20.09.2015 17:00;Липинського В.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);17.09.2015 15:50;Липинського В.;6
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);01.09.2015 23:00;Липинського В.;44
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);02.08.2015 18:55;Липинського В.;44
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);02.07.2015 20:30;Липинського В.;44
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);24.06.2015 8:25;Липинського В.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);06.05.2015 12:10;Липинського В.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);13.04.2015 21:50;Липинського В.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);09.03.2015 13:10;Липинського В.;44
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);09.03.2015 4:30;Липинського В.;36
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);19.02.2015 16:00;Липинського В.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);24.07.2015 0:29;Липинського В.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);16.05.2015 11:33;Липинського В.;53
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);25.07.2015 0:00;Липова Алея;15
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);23.11.2015 10:50;Личаківська;33
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);21.10.2015 10:30;Личаківська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);16.09.2015 8:50;Личаківська;117
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);23.07.2015 22:45;Личаківська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);26.02.2015 15:00;Личаківська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);18.10.2015 10:50;Личаківська;24
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);15.09.2015 13:43;Личаківська;33
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);26.08.2015 8:50;Личаківська;33
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);26.06.2015 11:45;Личаківська;37
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);04.04.2015 10:50;Личаківська;159
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);11.03.2015 12:30;Личаківська;8
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);11.09.2015 10:30;Личаківська;91
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);19.11.2015 15:27;Личаківська;75
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);21.09.2015 17:00;Личаківська;125
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);01.09.2015 22:20;Личаківська;33
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);01.09.2015 13:10;Личаківська;66
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);24.09.2015 22:55;Ломоносова (Винники);94
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);09.10.2015 10:25;Луганська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);01.10.2015 14:00;Луганська;16
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);31.08.2015 9:23;Луганська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);07.08.2015 9:42;Луганська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);20.07.2015 22:51;Луганська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);31.03.2015 23:30;Луганська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);04.11.2015 14:15;Личаківська;14
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);23.09.2015 7:15;Любінська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);31.08.2015 0:30;Любінська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);25.08.2015 19:00;Любінська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);31.10.2015 18:50;Любінська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);09.11.2015 17:25;Любінська-Виговського;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);20.07.2015 19:43;Любінська;17
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);29.05.2015 13:06;Любінська;92
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);19.05.2015 12:57;Любінська;90
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);10.06.2015 11:25;Львівська (Брюховичі);3
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);22.10.2015 11:30;Львівська (Брюховичі);
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);19.12.2015 12:30;Львівська (Брюховичі);
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);08.05.2015 13:00;Медової Печери;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);13.12.2015 1:18;Мазепи І.,гетьмана;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);23.10.2015 6:15;Мазепи І.,гетьмана;25А
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);15.10.2015 22:10;Мазепи І.,гетьмана;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);25.08.2015 8:00;Мазепи І.,гетьмана;21
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);04.08.2015 11:50;Мазепи І.,гетьмана;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);25.07.2015 16:40;Мазепи І.,гетьмана;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);25.06.2015 22:10;Мазепи І.,гетьмана;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);28.01.2015 16:00;Мазепи І.,гетьмана;18
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);22.01.2015 11:40;Мазепи І.,гетьмана;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);02.07.2015 18:00;Мазепи-Орлика;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);29.09.2015 16:25;Максимовича М.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);01.05.2015 19:42;Матейка Я.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);27.06.2015 14:30;Медової Печери;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);21.08.2015 19:00;Медової Печери;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);19.10.2015 10:30;Мельника А.;18
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);16.07.2015 18:20;Миколайчука І.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);21.12.2015 8:30;Миколайчука І.;9
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);11.10.2015 20:40;Миколайчука І.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);19.08.2015 14:00;Миколайчука І.;9
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);19.08.2015 13:00;Миколайчука І.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);06.01.2015 15:30;Миколайчука І.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);01.12.2015 18:43;Миколайчука-Лінкольна;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);02.06.2015 13:00;Міцкевича А. пл;8
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);10.02.2015 17:25;Міцкевича А. пл;4
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);28.07.2015 9:30;Миколайчука І.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);26.12.2015 13:00;Наукова;51
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);17.12.2015 17:50;Наукова;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);09.12.2015 18:00;Наукова;43
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);03.11.2015 22:00;Наукова;4
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);07.09.2015 22:55;Наукова;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);31.08.2015 9:27;Наукова;74
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);29.08.2015 19:45;Наукова;7
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);29.08.2015 11:30;Наукова;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);18.08.2015 12:30;Наукова;2
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);09.08.2015 4:20;Наукова;61
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);25.06.2015 12:30;Наукова;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);02.06.2015 11:35;Наукова;30 А
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);04.04.2015 11:00;Наукова;62
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);23.03.2015 20:20;Наукова;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);23.02.2015 8:05;Наукова;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);24.12.2015 0:30;Наукова-Кульпарківська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);19.08.2015 22:20;Наукова;7Б
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);20.05.2015 10:07;Ніщинського П.;28
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);20.03.2015 14:30;Новознесенська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);25.06.2015 15:00;Огієнка І.;
